CONSULTA CREA:

Palabras ortográficas: Automovilismo | 

Agrupado por acentos, mayúsculas

Documentos: 281 / Frecuencia absoluta: 344 / Frecuencia normalizada: 2,75 por millón

BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

«El CIS había anunciado severos controles para el Jarama». El País. Madrid: Diario El País, S.A., 1976-05-05.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Automovilismo
«Campeón del mundo de fórmula 1». El País. Madrid: Diario El País, S.A., 1976-05-05.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	. Los comentarios que hagan algunas revistas acerca de mi persona me interesan, ¡cómo no¡, pero no les concedo ninguna importancia. Los periódicos serios sin embargo, son consecuentes con mi nacionalidad y con el objetivo para el que he sido fichado: pilotar de tal manera que día a día la Ferrari escale puestos en el automovilismo mundial.
«Campeón del mundo de fórmula 1». El País. Madrid: Diario El País, S.A., 1976-05-05.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	— ¿Sus ídolos del automovilismo?
«El Wolf WRL, nuevo bólido de fórmula-1». El País. Madrid: Diario El País, S.A., 1976-11-10.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Automovilismo
«Ocho elecciones federativas para febrero y marzo». El País. Madrid: Diario El País, S.A., 1977-02-02.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Durante el mes de febrero las Federaciones Nacionales de Balonmano, Tenis, Automovilismo y Pesca celebrarán sus respectivas elecciones para presidentes y en marzo serán las de Rugby, Piragüismo, Hípica y Halterofilia.
«Ocho elecciones federativas para febrero y marzo». El País. Madrid: Diario El País, S.A., 1977-02-02.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	La Federación Nacional de Balonmano tendrá nuevo presidente el día 19 de febrero, la de Tenis el 20, la de Automovilismo el 23 conjuntamente con nuevos presidentes regionales, la de Pesca el 26, la de Rugby el 2 de marzo, la de Piragüismo el 19, la de Hípica el 21 y la de Halterofilia el 25.
«Andretti no ganó en Suecia por falta de gasolina». El País. Madrid: Diario El País, S.A., 1977-06-21.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Automovilismo
«Un completo hermetismo ha envuelto a la fábrica Ferrari tras la noticia difundida anteayer en el sentido de que el piloto austríaco Niki Lauda dejará la escudería italiana a partir del 30 de octubre próximo.». El País. Madrid: Diario El País, S.A., 1977-08-31.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Es la primera vez en muchos años que un piloto de Ferrari decide por su propia cuenta abandonar esta marca y, lo que es más grave, con la perspectiva de incorporarse a un equipo —el Branham— que corre con los motores de la fábrica italiana Alfa Romeo, histórica rival de Ferrari en el automovilismo deportivo.
«Automovilismo: Villeneuve, sustituto de Lauda». El País. Madrid: Diario El País, S.A., 1977-09-29.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				Automovilismo: Villeneuve, sustituto de Lauda
