CONSULTA CREA:

Palabras ortográficas: formula 1 | 

Agrupado por acentos, mayúsculas

Documentos: 192 / Frecuencia absoluta: 383 / Frecuencia normalizada: 3,06 por millón

BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

«El CIS había anunciado severos controles para el Jarama». El País. Madrid: Diario El País, S.A., 1976-05-05.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Tres horas después de que finalizara la prueba se hacía pública la descalificación de James Hunt y de Jacques Laffite. Las máquinas de ambos pilotos no se ajustaban a la nueva reglamentación para la fórmula 1 de la CSI. El coche del británico medía de largo 1,8 centímetros de más.
«Campeón del mundo de fórmula 1». El País. Madrid: Diario El País, S.A., 1976-05-05.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Campeón del mundo de fórmula 1
«Campeón del mundo de fórmula 1». El País. Madrid: Diario El País, S.A., 1976-05-05.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Niki Lauda, nacido en Viena el 22 de febrero de 1949, hace realidad el sueño de su vida en 1971 pilotar un fórmula 1. Debuta en el Gran Premio de España, celebrado en Montjuich, —"circuito del que guardo un mal. recuerdo"— con un March. Pero esta marca la abandonará al año siguiente para correr con BRM, aunque en ella sería el último piloto; Pierre Beltoise y Clay Regazzoni capitaneaban equipo.
«Entrevista con Niki Lauda». El País. Madrid: Diario El País, S.A., 1976-05-05.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	El campeón del mundo de automóviles Fórmula 1, el austríaco Niki Lauda, vencedor el pasado domingo en el Jarama del Gran Premio de España, contesta a nuestras preguntas sobre temas deportivos y personales. Pág. 38.
«El Wolf WRL, nuevo bólido de fórmula-1». El País. Madrid: Diario El País, S.A., 1976-11-10.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Un nuevo bólido de fórmula 1, el Wolf Wrl, se presentará en las competiciones del Grand Prix de la próxima temporada. Este coche, que ha tenido un coste de cincuenta millones de pesetas es canadiense y debutará en el Gran Premio de Argentina, en enero del próximo año. Será pilotado por el sudafricano Jody Scheckter y el costo de
«Jody Scheckter». El País. Madrid: Diario El País, S.A., 1976-11-10.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Jody Scheckter, que el domingo ganó los 1.000 kilómetros de Kyalami en su país, es un piloto más de la fórmula 1 que encuentra acomodo para la próxima temporada. Días pasados, Regazzoni pasó de Ferrari a Ensing, y se confirmó al argentino Reuteman en la escudería italiana.
«Andretti no ganó en Suecia por falta de gasolina». El País. Madrid: Diario El País, S.A., 1977-06-21.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Jacques Lafitte ganó el Gran Premio de Suecia, y consiguió así la primera victoria de un piloto francés con un coche igualmente francés en la fórmula 1. Mario Andretti perdió, a cuatro vueltas del final, una carrera que había dominado ampliamente desde el principio. Jochem Mass, con MacLaren, y Reuteman, con Ferrari, consiguieron los segundo y tercer puestos. Jody Scheckter, causante impetuoso de un encontronazo con el Brabham de Watson, cuando ambos marchaban en segunda y tercera posiciones,
«Andretti no ganó en Suecia por falta de gasolina». El País. Madrid: Diario El País, S.A., 1977-06-21.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	¿Puede el lector imaginar que un monoplaza de fórmula 1 pierda un gran premio a cuatro vueltas del final por haberse quedado sin gasolina? Pues así le ocurrió al Lotus de Andretti, cuando su ventaja sobre el segundo clasificado, Jacques Lafitte, era nada menos que de quince segundos y su dominio total de la carrera le anticipaban seguro vencedor.
El País. Madrid: Diario El País, S.A., 1977-08-03.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				El circuito alemán de Hockenheim, sobre el que se disputó el último gran premio puntuable para el Campeonato del Mundo de Fórmula 1, sufrió recientemente algunas modificaciones en su trazado, encaminadas a aumentar su seguridad. Las dos chicannes con que han sido partidas sus dos grandes rectas obligan a los pilotos a disminuir la velocidad de los coches, lo que aumenta la seguridad, si bien supone un exceso de trabajo para las suspensiones. Hasta este año,
El País. Madrid: Diario El País, S.A., 1977-08-03.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				. Las dos chicannes con que han sido partidas sus dos grandes rectas obligan a los pilotos a disminuir la velocidad de los coches, lo que aumenta la seguridad, si bien supone un exceso de trabajo para las suspensiones. Hasta este año, el circuito de Hockenheim sólo había sido utilizado una vez para un gran premio de fórmula 1, en 1970. El austríaco Jochen Rindt —fallecido posteriormente— ganó aquella carrera. Después fue considerado como excesivamente peligroso, y a partir de entonces, y hasta el año pasado, se utilizó el circuito de Nurburgring para la disputa del Gran Premio de Alemania. El año pasado Lauda sufrió en Nurburgring un gravísimo accidente que
El País. Madrid: Diario El País, S.A., 1977-08-03.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				hasta el año pasado, se utilizó el circuito de Nurburgring para la disputa del Gran Premio de Alemania. El año pasado Lauda sufrió en Nurburgring un gravísimo accidente que estuvo a punto de costarle la vida, y eso hizo que este circuito quedara también descartado, a petición de la Asociación Internacional de Pilotos de Fórmula 1. Hockenheim tiene una forma aproximadamente rectangular, con dos rectas de algo más de dos kilómetros cada una. La alta velocidad de los fórmula 1 —trescientos kilómetros por hora— aconsejó la construcción de dos chicannes situadas hacia el centro de estas rectas (Una chicanne es una doble curva a derecha e izquierda, en
El País. Madrid: Diario El País, S.A., 1977-08-03.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				Nurburgring un gravísimo accidente que estuvo a punto de costarle la vida, y eso hizo que este circuito quedara también descartado, a petición de la Asociación Internacional de Pilotos de Fórmula 1. Hockenheim tiene una forma aproximadamente rectangular, con dos rectas de algo más de dos kilómetros cada una. La alta velocidad de los fórmula 1 —trescientos kilómetros por hora— aconsejó la construcción de dos chicannes situadas hacia el centro de estas rectas (Una chicanne es una doble curva a derecha e izquierda, en zig-zag). Estos estrechamientos, además de aminorar el riesgo de los pilotos, reducen el esfuerzo continuado de los motores, que habían de girar a
«Lauda, a un paso de conquistar el Campeonato del Mundo de fórmula 1». El País. Madrid: Diario El País, S.A., 1977-09-09.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				Lauda, a un paso de conquistar el Campeonato del Mundo de fórmula 1
