CONSULTA CREA:

Palabras ortográficas: neumaticos | 

Agrupado por acentos, mayúsculas

Documentos: 339 / Frecuencia absoluta: 547 / Frecuencia normalizada: 4,37 por millón

BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Salisachs, Mercedes: La gangrena. Barcelona: Planeta, 1976.	Salisachs, Mercedes	La gangrena	1975	Primera edición	Ficción	Escrito	Libro	Novela	España			Premio Planeta 1975	pueblo cercano. El furor turístico aún no se había iniciado; sin embargo, el ambiente iba cargándose de normas futuras, de excentricidades en cierne, que andando el tiempo parecerían normales. A veces, cuando nos hartábamos del paisaje, nos íbamos a los pueblos cercanos desafiando el firme inmundo de las carreteras, rompiendo neumáticos, ballestas y muelles. La cuestión era agitarse mucho, buscar horizontes  distintos, justificar evasiones que poco a poco iban resultando inevitables.
«Campeón del mundo de fórmula 1». El País. Madrid: Diario El País, S.A., 1976-05-05.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	de escape del bólido rompen el silencio del Jarama. Se dedican tres minutos a calentar el motor. Lauda, entre tanto, se acomoda en su asiento. El jefe del equipo le da las últimas instrucciones y el Ferrari comienza a rodar. Las primeras vueltas al circuito son lentas. Cuando los neumáticos cogen temperatura aprieta el acelerador. Pasa por la recta de tribunas a más de doscientos kilómetros por hora, se pierde en la primera curva del trazado y vuelve a aparecer dos minutos más tarde.
«A las 11.30 del día 29 de abril de 1975, un jeep atraviesa la calle Catinat, de Saigón, enarbolando una gran bandera del GRP. Era el fin de una pesadilla y el comienzo de una nueva era. Jean Larteguy vio y vivió aquellos días, y su testimonio recogido en un libro, «Adiós a Saigón» (Editorial Ultramar. Madrid) nos acompañó durante la última semana. Hoy publicamos la última entrega de su obra, monumento literario y polémico, nostálgica despedida a un mundo que se moría.». El País. Madrid: Diario El País, S.A., 1976-08-01.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	ellos, un T-54, derriba las verjas que tardaban en abrirse y dispara un cañonazo de advertencia y varias ráfagas de metralla. Lo siguen otros 14 tanques, cubiertos de ramas, con las torrecillas abiertas. Soldados con cascos tipo colonial hechos de fibras vegetales, ropa verde y sandalias Ho Chi Minh, fabricadas con pedazos de neumáticos, y armados con fusiles chinos de asalto AK-47, saltan de los blindados y corren hacia el palacio.
Lynch, Marta: Los dedos de la mano. Madrid: Alfaguara, 1977.	Lynch, Marta	Los dedos de la mano	1977	Primera edición	Ficción	Escrito	Libro	Relato	Argentina	Río de la Plata			—tan viejos como él—, de los vecinos. Un primo de Rosales cerró la casa pero dejó libre la escalera a la terraza. Durante la tarde de ese viernes de septiembre, Adelaida caminó hacia el almacén. Y esa misma madrugada, serían las tres, oímos ulular el patrullero y el roce de los neumáticos. Es difícil reconocer los tiros porque uno los confunde con los ruidos aislados de la noche, con los viejos objetos que estallan en la oscuridad deteriorándose como nosotros. Pero el tiroteo se hizo patente y también algunos gritos y luego los disparos que, en la información, parecían provenir de la casa de Rosales desde
«Continúa el incremento relativo de las exportaciones sobre las importaciones». El País. Madrid: Diario El País, S.A., 1977-10-06.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	Las exportaciones se incrementan en relación con el mismo mes de 1976 en un 44,91 en términos relativos y en 18.710 millones de pesetas en valores absolutos. Los sectores de mayor penetración fueron el automovilístico, calzado, naval y neumáticos.
«Mario Andretti ganó el IIL Gran Premio de Italia». El País. Madrid: Diario El País, S.A., 1977-09-13.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				: Andretti, Reuteman, Lauda y, más distanciados, Jones, Stuck y Hunt. En otro grupo, Mass y Regazzoni. En la vuelta siguiente no pasan ni Hunt ni Depailler y Renault Turbo se retiró con sobrecalentamiento de motor. Hunt entró en boxes sin frenos delanteros y con vibraciones en la dirección. Cambió neumáticos, vació gasolina e intentó dar la vuelta más rápida sin conseguirlo. Se retiró en la vuelta 37.
El País. Madrid: Diario El País, S.A., 1977-09-15.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	España			Mayúsculas no acentuadas en el original	En el momento de declararse el incendio, los vecinos, que participaron activamente en las tareas de extinción, comenzaron a retirar neumáticos y la mayor cantidad posible de materia combustible para aminorar el riesgo, pese a lo cual, debido al caucho y aceite esparcido por todo el cementerio de coches, el incendio se hizo muy difícil de detener. Los vecinos culpan al Ayuntamiento de Madrid por la falta de suficientes bocas de riego en el lugar, lo
El País. Madrid: Diario El País, S.A., 1977-09-15.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Trece coches autobombas del servicio de bomberos trabajaron en la extinción del fuego, de una gran voracidad, debida a la alta combustibilidad de los neumáticos de los coches viejos allí almacenados. A las seis de la tarde, la asociación de vecinos de la zona convocó una rueda de prensa para explicar que, desde hace tiempo, se ha denunciado la existencia de estos cementerios de automóviles y las fogatas y quemas que en ellos se originan.
«&#34;por incumplir las condiciones del artículo 211 de las vigentes ordenanzas de uso del suelo y edificación&#34;». El País. Madrid: Diario El País, S.A., 1977-09-29.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Ciencias y tecnología	España				Parece ser que el Ayuntamiento se ha decidido a consultar el reglamento a raíz de la serie de manifestaciones de los vecinos, en una de las cuales resultaron dos heridos graves y varios detenidos, en protesta por las frecuentes quemas de neumáticos que se producían en las industrias y que contribuían a la de por sí ya fuerte contaminación que padece toda la zona sur de Madrid.
Paso, Fernando del: Palinuro de México. Madrid: Alfaguara, 1982.	Paso, Fernando del	Palinuro de México	1977	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica		Premio de Novela México 1975. Premio Rómulo Gallegos 1982. El capítulo 24 (pp. 629-696) es una pieza de teatro. No acentúa las mayúsculas	Abajo en las calles, y como abalorios del día, corren los taxis amarillos de la Chrysler Corporation. Y millones de hombres y mujeres viajan bajo la tierra, sobre rieles de la United States Steel Corporation. Pero también entre ellos, y por los intestinos y las arterias profundas de la ciudad, por los tubos neumáticos de televenta y distribución instantánea a domicilio, culebrean los espaguetis de la General Foods y ruedan las naranjas Jaffa y fluyen las salad-creams  pálidas como la linfa y circulan las mermeladas rojas como la sangre...
Paso, Fernando del: Palinuro de México. Madrid: Alfaguara, 1982.	Paso, Fernando del	Palinuro de México	1977	Primera edición	Ficción	Escrito	Libro	Novela	México	México y Centroamérica		Premio de Novela México 1975. Premio Rómulo Gallegos 1982. El capítulo 24 (pp. 629-696) es una pieza de teatro. No acentúa las mayúsculas	casa y los objetos queridos del abuelo Francisco: su álbum de discos Stanley Tibbet, sus cuadros de Charrería de Ernesto Icaza y las bacantes de Santiago Rebull y el viejo automóvil LaSalle, con sus salpicaderas y sus puertas y sus vidrios sostenidos por la sola fuerza de las telarañas, que alguna vez había usado capota de charol y neumáticos con polainas de talco inglés y que ahora, en el garaje y tras las cortinas de lona de rayas verdes y naranjas, dormía desde los años veinte una siesta inoxidable.
«&#34;La angustia ante la fuga del tiempo, ante la vejez y ante la muerte, no se incorpora a una cultura que le otorga sentido, sino que se la combate por el consumo de servicios médicos&#34;». Triunfo. Madrid: Prensa Periódica, 1977-06-25.		Triunfo	1977	Primera edición	No ficción	Escrito	Prensa	Ciencias sociales, creencias y pensamiento	España				cálculo, los investigadores franceses han sumado el promedio de tiempo invertido en desplazamientos, al tiempo que es preciso trabajar para pagar los gastos que un automóvil implica. Las horas necesarias para ganar el dinero equivalente al precio del auto, el permiso de conducir, el seguro, los gastos de garaje, el combustible, los neumáticos, los repuestos, las revisiones y reparaciones normales, los gastos de estacionamiento y peaje y las multas y los accesorios se agregan, así, al tiempo promedio de los trayectos recorridos. ¿No es absurdo consagrar tres o cuatro horas diarias al automóvil? "Trabajamos, dicen los autores, una buena parte
«Planean escalar el Aconcagua a pie». Clarín. Buenos Aires: 1979-03-12.		Clarín	1979	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Argentina	Río de la Plata		Procesado por medio de un programa de reconocimiento de voz	Godoy y Rodríguez, que han recorrido ya el equivalente en kilómetros a siete vueltas alrededor del mundo, añaden: "Queremos llegar a la cima del Aconcagua desde la llamada Piedra Bandera, tras atravesar el glaciar de Los Polacos. Para eso emplearemos neumáticos con púas para no resbalar por las capas de hielo".
«LLEGÓ LAUDA». Clarín. Buenos Aires: 1979-01-16.		Clarín	1979	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Argentina	Río de la Plata		Procesado por medio de un programa de reconocimiento de voz	de este movimiento, las instalaciones del Autódromo Municipal comenzaron a ganar en actividad. En sus dependencias empezaron a recibir al enorme contingente de máquinas, hombres y elementos que moviliza la troupe de la Fórmula 1. La gente de Michelin fue la más madrugadora. Desde hora temprana se dedicaron a clasificar el contingente de neumáticos traídos para esta carrera. Poco después del mediodía arribaron al autódromo en distintos camiones las primeras máquinas. La tanda inicial de coches comprendió . Junto a ellos llegaron un contingente de repuestos y gran cantidad de neumáticos.
«LLEGÓ LAUDA». Clarín. Buenos Aires: 1979-01-16.		Clarín	1979	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Argentina	Río de la Plata		Procesado por medio de un programa de reconocimiento de voz	. La gente de Michelin fue la más madrugadora. Desde hora temprana se dedicaron a clasificar el contingente de neumáticos traídos para esta carrera. Poco después del mediodía arribaron al autódromo en distintos camiones las primeras máquinas. La tanda inicial de coches comprendió . Junto a ellos llegaron un contingente de repuestos y gran cantidad de neumáticos.
«Que no falte la ley». Clarín. Buenos Aires: 1979-01-16.		Clarín	1979	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	Argentina	Río de la Plata		Procesado por medio de un programa de reconocimiento de voz	encendido, lubricación y enfriamiento, hacen su parte en la peliaguda misión de proporcionar el empuje constante de 500 CV (caballos mecánicos) para que el automóvil mantenga su condición competitiva. En lo suyo, las aleaciones y menor peso de las ruedas se asocian, a la función hoy día fundamental, que han logrado los neumáticos como factor determinante de rendimiento.
Onetti, Juan Carlos: Dejemos hablar al viento. Madrid: Mondadori, 1991.	Onetti, Juan Carlos	Dejemos hablar al viento	1979	Primera edición	Ficción	Escrito	Libro	Novela	Uruguay	Río de la Plata			. Yo, escuchando tantas imbecilidades que me hacían pensar en por qué Brausen repartió sin discriminar el uso de la palabra; mirando también la cianosis en los labios la sangre seca en la nariz de la mujer. Y así hasta el cómico principio de la locura. Oímos el auto que venía a toda marcha abrasando los neumáticos en la arena. La bestia había traído a ese pobre viejo rengo que anda por la plaza ofreciendo sacar fotos a las parejas con su máquina sobre un trípode. La cámara adornada casi cubierta por postales grises y amarillas. Y el viejo, temblando, casi más blanco que la muerta, rengueó sudoroso y pudo conseguir
Martínez Reverte, Jorge: Demasiado para Gálvez. Barcelona: Editorial Anagrama, S. A., 1989.	Martínez Reverte, Jorge	Demasiado para Gálvez	1979	Fecha de escritura	Ficción	Escrito	Libro	Novela	España				uno de ellos. A las seis y diez el despertador de la telefónica me había informado que la hora era precisamente ésa, cuando yo no se lo había pedido. A las nueve, después de vomitar el desayuno y afeitarme, comprobé que alguno de mis amables vecinos había premiado mi forma de aparcar desinflando los neumáticos del «850». A las once aún me encontraba mirando fijamente a la máquina de escribir, rodeado de folios estrujados y con dos líneas escritas bajo un sugestivo encabezamiento: «Malestar en la industria del juguete.»
«EMPRESAS &amp; NEGOCIOS». Revista Hoy. Santiago de Chile: 1979-10-09.		Revista Hoy	1979	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Chile	Chilena		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	NEUMÁTICOS
