CONSULTA CREA:

Palabras ortográficas: motor | 

Agrupado por acentos, mayúsculas

Documentos: 1895 / Frecuencia absoluta: 4585 / Frecuencia normalizada: 36,7 por millón

BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

Ardila, Rubén: Psicología del aprendizaje. Madrid: Siglo XXI, 1986.	Ardila, Rubén	Psicología del aprendizaje	1975	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Colombia	Caribe continental		Aunque hay una edición anterior (1970), tomamos como fecha 1975 porque en ese año se publica la octava edición corregida y aumentada, que es la que se reproduce en las posteriores	Otras importantes clases de aprendizaje merecen ser estudiadas aquí. El aprendizaje percepto-motor, o aprendizaje de habilidades, principalmente motoras, ha alcanzado un alto grado de desarrollo especialmente en relación con la ingeniería psicológica (también llamada "psicología experimental aplicada"). Los trabajos sobre coordinación óculo-manual, por ejemplo, se han refinado mucho, y su importancia en la vida diaria es muy grande. El aprendizaje verbal es
Ardila, Rubén: Psicología del aprendizaje. Madrid: Siglo XXI, 1986.	Ardila, Rubén	Psicología del aprendizaje	1975	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Colombia	Caribe continental		Aunque hay una edición anterior (1970), tomamos como fecha 1975 porque en ese año se publica la octava edición corregida y aumentada, que es la que se reproduce en las posteriores	El problema de si existen "clases" de aprendizaje es algo que nunca se ha resuelto satisfactoriamente. Parece que los procesos que toman parte en el condicionamiento clásico y operante, en el aprendizaje percepto-motor y en el aprendizaje verbal tienen mucho en común, pero no pueden identificarse completamente.
Ardila, Rubén: Psicología del aprendizaje. Madrid: Siglo XXI, 1986.	Ardila, Rubén	Psicología del aprendizaje	1975	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Colombia	Caribe continental		Aunque hay una edición anterior (1970), tomamos como fecha 1975 porque en ese año se publica la octava edición corregida y aumentada, que es la que se reproduce en las posteriores	El organismo en una situación de aprendizaje, sea con base en el condicionamiento clásico, el condicionamiento instrumental, el aprendizaje motor o el aprendizaje verbal a nivel humano, se enfrenta con numerosos estímulos a los cuales ha de responder en una u otra forma. La descripción de cada uno de estos "tipos" de aprendizaje se hará en los siguientes capítulos. En el presente estudiaremos algunos problemas de medición, las curvas de aprendizaje y los principales
Ardila, Rubén: Psicología del aprendizaje. Madrid: Siglo XXI, 1986.	Ardila, Rubén	Psicología del aprendizaje	1975	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Colombia	Caribe continental		Aunque hay una edición anterior (1970), tomamos como fecha 1975 porque en ese año se publica la octava edición corregida y aumentada, que es la que se reproduce en las posteriores	es un impulso que puede adquirirse. Cuando se colocó una puerta separando los dos compartimientos, las ratas aprendieron a operar una rueda para abrirla y pasar al compartimiento negro; lo hicieron sin descargas eléctricas adicionales. Después fueron capaces de aprender a operar una palanca para abrir la puerta. En estos casos el motor fue el impulso secundario (o adquirido) de miedo.
Ardila, Rubén: Psicología del aprendizaje. Madrid: Siglo XXI, 1986.	Ardila, Rubén	Psicología del aprendizaje	1975	Primera edición	No ficción	Escrito	Libro	Ciencias sociales, creencias y pensamiento	Colombia	Caribe continental		Aunque hay una edición anterior (1970), tomamos como fecha 1975 porque en ese año se publica la octava edición corregida y aumentada, que es la que se reproduce en las posteriores	el grupo que no descansaba era significativamente superior al grupo que descansaba. El calentamiento se supuso que tenía un efecto facilitatorio, que se perdía al interrumpir la tarea. Los efectos del calentamiento están muy bien establecidos en el área del aprendizaje verbal, y relativamente bien establecidos en el área del aprendizaje motor.
Rigau, Alejo: Arboricultura forestal y ornamental. Barcelona: Sintes, 1975.	Rigau, Alejo	Arboricultura forestal y ornamental	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				Después de haber trazado las superficies destinadas a caminos, estercoleros, dependencias, etc., se labora el terreno lo más profundamente posible (hasta 50-60 cm.), con el azadón, el pico o arado según las posibilidades. Para este menester son muy útiles; los modernos pequeños arados mecánicos a motor.
Palou, Inés: Carne apaleada. Barcelona: Círculo de Lectores, 1975.	Palou, Inés	Carne apaleada	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				Los calabozos de la comisaría son bastante pequeños. Unos dos metros por tres. En el fondo, en lo alto de la pared, un pequeño ventanuco parecía comunicar con un patio interior, desde donde venía el ruido intermitente de un motor. Pegado a la pared, dando la vuelta al calabozo, un banco de piedra. Frío y duro. Con una humedad por todas partes que hacía tiritar el cuerpo. De dormir, nada, nada de nada. Me dieron una manta inmunda que no consiguió otra cosa que meterme por todo el cuerpo
Palou, Inés: Carne apaleada. Barcelona: Círculo de Lectores, 1975.	Palou, Inés	Carne apaleada	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				y duro. Con una humedad por todas partes que hacía tiritar el cuerpo. De dormir, nada, nada de nada. Me dieron una manta inmunda que no consiguió otra cosa que meterme por todo el cuerpo un picor de sensación repugnante. Además, durante toda la noche, no cesó el ruido de aquel motor...
Palou, Inés: Carne apaleada. Barcelona: Círculo de Lectores, 1975.	Palou, Inés	Carne apaleada	1975	Primera edición	Ficción	Escrito	Libro	Novela	España				María, cuando entró, me dio pelos y señales de la compañera de B. Allí dentro no teníamos siempre ocasión de leer la prensa. Pero María se sabía de memoria el caso y me lo contó. Además, conocía a la mujer causante del crimen. Que fue el motivo, el motor que movió la mano homicida de nuestra compañera. Después, hablando con Pili —que así se llamaba la otra—, conseguí redondear el caso y sacar mi propia versión, que se aproximaba más a la verdad que ninguna de las dos versiones que ambas me contaron.
«Dos pistoleros asaltaron farmacia y roban 400 mil». El Comercio. Lima: 1975-01-14.		El Comercio	1975	Primera edición	No ficción	Escrito	Prensa	Política, economía y justicia	Perú	Andina		Procesado por medio de un programa de reconocimiento de voz. Mayúsculas no acentuadas en el original.	Con el botín en sus manos los delincuentes huyeron rápidamente, embarcándose en un automóvil que los esperaba en las inmediaciones con el motor encendido. La policía realiza minuciosas investigaciones para lograr la identidad y captura de los asaltantes.
Cagigal, José María: El deporte en la sociedad actual. Barcelona: Magisterio español; Prensa española; Editora nacional, 1975.	Cagigal, José María	El deporte en la sociedad actual	1975	Primera edición	No ficción	Escrito	Libro	Actualidad, ocio y vida cotidiana	España				Una investigación sobre el aprendizaje motor, que compruebe la adaptabilidad de unos atletas a los modelos técnicos de un eficiente salto de altura (en el que se han condensado, a su vez, las investigaciones de las leyes físicas de la gravedad y trayectoria de los cuerpos, las leyes biomecánicas y las fisiológicas sobre calidad y capacidad muscular) sirve para buscar
O'Donnell, Pacho: Escarabajos. Buenos Aires: Galerna, 1982.	O'Donnell, Pacho	Escarabajos	1975	Fecha de estreno	Ficción	Escrito	Libro	Teatro	Argentina	Río de la Plata		Estrenada en 1975, en el teatro Payró, Buenos Aires. En el mismo volumen aparecen Lo frío y lo caliente, Lobo... ¿estás? y Vicent y los cuervos.	Rubén sonríe entusiasmado y extiende las brazos haciendo como si manejara y con la boca imita el ruido del motor, desplazándose por la habitación. Oscar y Marta lo festejan. En su "recorrido " Rubén ha ido a dar frente o ha pasado junto al retrato de Carlitos)
