CONSULTA CREA:

Palabras ortográficas: grand prix | 

Agrupado por acentos, mayúsculas

Documentos: 70 / Frecuencia absoluta: 91 / Frecuencia normalizada: 0,72 por millón

BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

«El Wolf WRL, nuevo bólido de fórmula-1». El País. Madrid: Diario El País, S.A., 1976-11-10.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Un nuevo bólido de fórmula 1, el Wolf Wrl, se presentará en las competiciones del Grand Prix de la próxima temporada. Este coche, que ha tenido un coste de cincuenta millones de pesetas es canadiense y debutará en el Gran Premio de Argentina, en enero del próximo año. Será pilotado por el sudafricano Jody Scheckter y el costo de su pase de la escudería Tyrell a la Wolf se estima en cien millones
«Victorias de Higueras, Soler y Orantes». El País. Madrid: Diario El País, S.A., 1977-10-06.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Los españoles Higueras, Soler y Orantes vencieron a sus respectivos rivales de la segunda ronda del torneo de Teherán —categoría cinco estrellas—, del Grand Prix, mientras que Muñoz, que en la primera ron da eliminó al norteamericano Woody Blocher, fue derrotado por el yugoslavo Franulovic, por 6-4, 4-6 y 6-4. Higueras venció al argentino Ricardo Cano por 6-2 y 6-0, Soler venció al austríaco Peter Feigl, por 7-5, 3-6 y 6-4, y Orantes hizo lo mismo
«Victorias de Higueras, Soler y Orantes». El País. Madrid: Diario El País, S.A., 1977-10-06.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Bjorn Borg declaró ayer en Dinamarca: que entre sus objetivos para el próximo año figuran conseguir la Copa Davis con Suecia, obtener una nueva victoria en Wimbledon y ganar, por vez primera, el campeonato de Estados Unidos. Asimismo, declaró que está completamente restablecido de su lesión en Forest Hills. Borg está inscrito para participar en el próximo Grand Prix de Madrid.
«Victorias de Higueras, Soler y Orantes». El País. Madrid: Diario El País, S.A., 1977-10-06.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Por otra parte, en partido del torneo de Kanaapali, en las islas Hawaii, también del Grand Prix, y con tres estrellas de categoría, Connors derrotó al reciente y sorprendente vencedor del torneo de San Francisco, Butch. Walts, por 6-4, 6-4. También se produjeron resultados interesantes: Ramírez ganó a Marty Riessen, 6-1, 6-2; Gullikson a Stewart, 6-3, 6-7, 6-0; Mayer a Bertram,
«&#34;Un campeón &mdash;dice Paese Sera, de Roma&mdash; es un ejemplar de lo mejor que puede dar el deporte. Ser campeón significa, ante todo, ser hombre dotado de equilibrio, sentido común, civilidad y respeto para los demás, comenzando por el adversario. Quien ha visto jugar a Orantes ha comprendido qué significa ser campeón. Orantes se había operado semanas atrás en el brazo que le sirve para cumplir su trabajo de tenista. Sabía no encontrarse en su mejor forma, pero hizo su oficio y supo perder con dignidad. Panatta puso en discusión su dignidad de profesional.&#34;». El País. Madrid: Diario El País, S.A., 1977-08-03.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				han sido Alexander, Dent, Case, Masters, Ruffels y Edmondson. Argentina eliminó este año en la Copa Davis a Estados Unidos y tiene en Guillermo Vilas su mejor raqueta. Este tenista, tras su reciente victoria en el torneo de Louisville sobre Dibbs por 1-6, 6-0 y 6-1, ha pasado a encabezar la clasificación del Grand Prix. Vilas lleva en esta temporada diecisiete victorias consecutivas y veinticuatro en tierra batida. Mientras tanto, una delegación de la Federación Internacional va a visitar Suráfrica para comprobar si realmente existe discriminación racial en el tenis de aquel país. Esto parece desprenderse de las denuncias de varios países, que han rehusado a competir internacionalmente con los
«&#34;si fuera norteamericano o sueco &mdash;refiriéndose, sin duda, a Connors o Borg&mdash; nadie me discutiría la primacía en el tenis mundial, tras la campaña que estoy realizando. Pero estoy seguro que como soy hispano no se me mide con la misma vara y se discutirá mi posición.&#34;». El País. Madrid: Diario El País, S.A., 1977-09-13.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				en dobles masculinos y Martina Navratilova-Betty Stove, en femeninos —vencieron a la transexual Renée Richards y Betty Ann Stuart, 6-1, 7-6—; finalmente, los dobles mixtos fueron para Betty Stove y Mc Millan, que se impusieron a Billie Jean King y Vitas Gerulaitis: 6-2, 3-6, 6-3. Vilas y Chris Evert marchan destacados en las clasificaciones del Grand Prix.
«Vilas, imparable». El País. Madrid: Diario El País, S.A., 1977-09-20.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				imponerse en la final de la Copa Porée al francés Roger Vasseilin por 6-2, 6-1, 7-6. Vilas no dejó opción al jugador galo, uno de los tres participantes en el torneo que utilizaban la polémica raqueta de doble cordaje. Tras este triunfo, Vilas se destaca aún más en la clasificación del Grand Prix, que ya ganó en 1974 y 75.
«Vilas, imparable». El País. Madrid: Diario El País, S.A., 1977-09-27.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				imponerse en la final de la Copa Porée al francés Roger Vasseilin por 6-2, 6-1, 7-6. Vilas no dejó opción al jugador galo, uno de los tres participantes en el torneo que utilizaban la polémica raqueta de doble cordaje. Tras este triunfo, Vilas se destaca aún más en la clasificación del Grand Prix, que ya ganó en 1974 y 75.
«Nuevo triunfo de Orantes». El País. Madrid: Diario El País, S.A., 1977-09-29.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				El torneo de San Francisco sigue al de Los Angeles —éste sobre pistas de cemento— que ganó el mexicano Ramírez por 7-5, 3-6, 6-4 a Gottfried. Ramírez, que había eliminado en semifinales a Orantes ganó 14.000 dólares, más de un millón de pesetas de premio, y sumó así algunos puntos para el Grand Prix.
