CONSULTA CREA:

Palabras ortográficas: escudería | 

Agrupado por acentos, mayúsculas

Documentos: 143 / Frecuencia absoluta: 226 / Frecuencia normalizada: 1,8 por millón

BIBLIOGRAFÍA	AUTOR	TÍTULO	FECHA	CRITERIO	BLOQUE	MEDIO	SOPORTE	TEMA	PAÍS	ZONA	TIPOLOGÍA	NOTAS	CONCORDANCIA

«El CIS había anunciado severos controles para el Jarama». El País. Madrid: Diario El País, S.A., 1976-05-05.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	La descalificación de James Hunt del Gran Premio de España de fórmula se ajusta, en opinión de corredores, técnicos y jefes de escudería, a las normas del Comité Deportivo Internacional. Se discute, no obstante, la actuación de los comisarios internacionales, que no procedieron a realizar una verificación general de los coches participantes ni antes de comenzar la prueba ni sobre la parrilla de salida.
«El Wolf WRL, nuevo bólido de fórmula-1». El País. Madrid: Diario El País, S.A., 1976-11-10.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Wrl, se presentará en las competiciones del Grand Prix de la próxima temporada. Este coche, que ha tenido un coste de cincuenta millones de pesetas es canadiense y debutará en el Gran Premio de Argentina, en enero del próximo año. Será pilotado por el sudafricano Jody Scheckter y el costo de su pase de la escudería Tyrell a la Wolf se estima en cien millones de pesetas.
«Jody Scheckter». El País. Madrid: Diario El País, S.A., 1976-11-10.		El País	1976	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Jody Scheckter, que el domingo ganó los 1.000 kilómetros de Kyalami en su país, es un piloto más de la fórmula 1 que encuentra acomodo para la próxima temporada. Días pasados, Regazzoni pasó de Ferrari a Ensing, y se confirmó al argentino Reuteman en la escudería italiana.
«Sandro Munari». El País. Madrid: Diario El País, S.A., 1977-10-06.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Sandro Munari, con su Lancia Statos, marcha en cabeza del Rally de San Remo, novena prueba del Campeonato del Mundo, al término de la primera etapa. Supera en 2'32" a su compañero de escudería Carello y en 4'16" a Waldegaard.
El País. Madrid: Diario El País, S.A., 1977-08-28.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				Zandwoort tiene trozos muy rápidos en los que los limitadores de revoluciones de los motores cantan con frecuencia, quejándose del esfuerzo. Si los mecánicos de Lotus no han encontrado las causas técnicas de sus recientes fracasos, la escudería perderá hoy sus últimas posibilidades de ganar el campeonato con Andretti.
El País. Madrid: Diario El País, S.A., 1977-08-28.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				su coche va en claro descenso. Los Alfa Romeo Martini Brabham, que desde principio de temporada parecían optar al triunfo final, han perdido también su gran oportunidad. La muerte de Carlos Pace a principios de temporada y la posterior incorporación del irlandés John Watson, con su conocida mala suerte en las últimas carreras, dejan a la escudería que capitanea Berb Bernie Ecclestone a la espera de una mejor oportunidad en el 78.
«Un completo hermetismo ha envuelto a la fábrica Ferrari tras la noticia difundida anteayer en el sentido de que el piloto austríaco Niki Lauda dejará la escudería italiana a partir del 30 de octubre próximo.». El País. Madrid: Diario El País, S.A., 1977-08-31.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Un completo hermetismo ha envuelto a la fábrica Ferrari tras la noticia difundida anteayer en el sentido de que el piloto austríaco Niki Lauda dejará la escudería italiana a partir del 30 de octubre próximo.
«Un completo hermetismo ha envuelto a la fábrica Ferrari tras la noticia difundida anteayer en el sentido de que el piloto austríaco Niki Lauda dejará la escudería italiana a partir del 30 de octubre próximo.». El País. Madrid: Diario El País, S.A., 1977-08-31.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Aunque los protagonistas de este episodio no han explicado las causas del divorcio Lauda-Ferrari, se asegura que el origen de las diferencias está en el malestar de Lauda por ciertos aspectos de la conducción de la escudería que no son de su agrado. La situación incómoda de Lauda en Ferrari comenzó en 1975, poco después de haber ganado el campeonato del mundo, cuando se alejó del equipo Luca de Montemozolo, su protector y amigo, y se agudizó después de su renuncia en octubre del año pasado en el circuito
«Lauda, a un paso de conquistar el Campeonato del Mundo de fórmula 1». El País. Madrid: Diario El País, S.A., 1977-09-09.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				El Gran Premio de Italia de fórmula 1 que se correrá el próximo domingo en el rápido circuito de Monza, tiene una especial significación por cuanto que Lauda, en pleno enfrentamiento con su escudería, Ferrari, puede proclamarse, en Italia, campeón del mundo de la actual temporada.
«Lauda, a un paso de conquistar el Campeonato del Mundo de fórmula 1». El País. Madrid: Diario El País, S.A., 1977-09-09.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				Lauda ha roto ya definitivamente con su escudería, y al parecer ni una parte ni otra se despiden con un abrazo. El hecho de que el austríaco se vaya a alojar en otro hotel que en el que habitualmente ocupa la escudería italiana no es más que una anécdota, pero significativa. La clasificación del campeonato la encabeza Lauda con 63 puntos,
«Lauda, a un paso de conquistar el Campeonato del Mundo de fórmula 1». El País. Madrid: Diario El País, S.A., 1977-09-09.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				Lauda ha roto ya definitivamente con su escudería, y al parecer ni una parte ni otra se despiden con un abrazo. El hecho de que el austríaco se vaya a alojar en otro hotel que en el que habitualmente ocupa la escudería italiana no es más que una anécdota, pero significativa. La clasificación del campeonato la encabeza Lauda con 63 puntos, seguido de Scheckter con 42, Reutemann 35, Andreotti 32, Hunt 22 y Nilsson 20. Si Lauda gana en Monza sumará nueve puntos, y sólo si Scheckter queda segundo en Italia y gana
«Lauda, a un paso de conquistar el Campeonato del Mundo de fórmula 1». El País. Madrid: Diario El País, S.A., 1977-09-09.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				, Reutemann y Andretti no lo hacen, el campeonato de este año será ya para el austríaco, que se podrá permitir el lujo de no acudir a las restantes pruebas o cuando menos no asistir a la de Japón, de la que tan mal recuerdo guarda y la que curiosamente señaló el principio de las desavenencias con las escudería italiana. Lauda, que comenzó sin puntuar en el G. P. de Argentina, ha vencido en tres grandes premios —Suráfrica, Alemania y Holanda— y ha sido segundo en otros cinco. Las cifras hablan claramente de la regularidad de este gran piloto que está a punto de conseguir un nuevo título mundial con todos los merecimientos
«Mario Andretti ganó el IIL Gran Premio de Italia». El País. Madrid: Diario El País, S.A., 1977-09-13.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				campeón, que es además el piloto de la fórmula uno actual con la mejor cabeza sobre los hombros. Durante más de media carrera fue taponado incomprensiblemente por Reuteman hasta que tres vueltas antes del accidente del argentino, Lauda le pasó con autoridad. Quizá Reuteman con su actitud se ha jugado su permanencia en la escudería de Maranello. Pero en resumen Lauda se va y lo hace en campeón. ¿Serán en el 78 Ferrari y Lauda los mismos el uno sin el otro?
El País. Madrid: Diario El País, S.A., 1977-09-16.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				El virtual campeón del mundo de fórmula 1 de esta temporada, Niki Lauda, firmó oficialmente, en Roma, su contrato que le unirá con la firma británica Brabham. El anuncio fue hecho durante una rueda de prensa, convocada por la casa Parmalat, dedicada a productos alimenticios, que será la patrocinadora de la escudería británica el próximo año.
El País. Madrid: Diario El País, S.A., 1977-09-16.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				El compañero de Niki Lauda en el equipo inglés será el norirlandés John Waston. Bernie Ecclestone, el manager de la escudería, afirmó que Niki sería el corredor mejor pagado de todos los tiempos, pero no dio cifra alguna del contrato, especulándose éste por encima de los 110 millones de pesetas.
«Automovilismo: Villeneuve, sustituto de Lauda». El País. Madrid: Diario El País, S.A., 1977-09-29.		El País	1977	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España				El piloto canadiense Gilles Villeneuve será el sustituto de Lauda y número dos de la escudería Ferrari para la próxima temporada. El uno pasará a serlo el argentino Reuteman. Villeneuve, con veinticinco años, de Quebec, aunque vive en Montreal, se forjó en la fórmula Atlantic norteamericana, pese a su vocación inicial de ingeniero. Debutó este año en fórmula 1 en el Gran Premio de Inglaterra disputado en Silverstone
«Ecclestone compra el GP de Alemania». El País. Madrid: Diario El País, S.A., 1978-01-05.		El País	1978	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	Bernie Ecclestone, presidente de la Federación Internacional de Constructores de Automóviles y patrón de la escudería Brabham con Lauda, ha comprado el Gran Premio de Alemania de fórmula 1. Este es el primer acto de un desarrollo similar al que se sigue en tenis: un circuito dirigido por los mismos participantes.
«Rubén Cano y Percira jugarán en Sarríá». El País. Madrid: Diario El País, S.A., 1980-03-01.		El País	1980	Primera edición	No ficción	Escrito	Prensa	Actualidad, ocio y vida cotidiana	España			Mayúsculas no acentuadas en el original	, los Ferrari, coches que han basado casi siempre sus éxitos en la robustez mecánica y en su fiabilidad, en las dos primeras carreras de esta temporada han evidenciado una serie de fallos impropios de un equipo como el italiano. Los estudios realizados en el máximo secreto en la fábrica italiana y los permanentes deseos de esa escudería por estar siempre en cabeza pueden hacerla resurgir en cualquier momento, aunque Kyalami no parezca el circuito más apropiado para ello. Pero el que Scheckler sea precisamente surafricano y que Villeneuve siga demostrando, pese a las roturas mecánicas, que es probablemente el mejor piloto del momento dan un margen a la confianza para los rojos
